FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.6555174,POINT (16.315740102462268 48.176581905946506),6555174,,12,Hohenbergstraße 21,8,0
FAHRRADABSTELLANLAGEOGD.6554262,POINT (16.340333578744698 48.18939713086872),6554262,,6,Eisvogelgasse 2A,10,0
FAHRRADABSTELLANLAGEOGD.6554263,POINT (16.353118327953677 48.210618671037494),6554263,,8,Schmidgasse 12,8,0
FAHRRADABSTELLANLAGEOGD.6554264,POINT (16.421673915489997 48.23505092960813),6554264,,22,"Wagramer Straße 19, Zugang Hotel",16,0
FAHRRADABSTELLANLAGEOGD.6554265,POINT (16.34536766919043 48.21315672412902),6554265,,8,"Laudongasse 40, Feldgasse",8,0
FAHRRADABSTELLANLAGEOGD.6554266,POINT (16.351362936165998 48.2122957720528),6554266,,8,Lange Gasse 58,4,0
FAHRRADABSTELLANLAGEOGD.6554267,POINT (16.29598157646889 48.185285383101494),6554267,,13,Lainzer Straße 14A,6,0
FAHRRADABSTELLANLAGEOGD.6554268,POINT (16.345589607671723 48.214272474026394),6554268,,8,Feldgasse 6-8,8,0
FAHRRADABSTELLANLAGEOGD.6554269,POINT (16.343942238145537 48.21371011557557),6554269,,8,Albertgasse 50,4,0
FAHRRADABSTELLANLAGEOGD.6554270,POINT (16.385141754954013 48.19397771771266),6554270,,3,"Mechelgasse 2, Jacquingasse",6,0
FAHRRADABSTELLANLAGEOGD.6554271,POINT (16.354715358457373 48.21067809756918),6554271,,8,Schmidgasse 1,8,0
FAHRRADABSTELLANLAGEOGD.6554272,POINT (16.390140681735975 48.20531996465895),6554272,,3,"Esteplatz ggü. 3, Uchatiusgasse",8,0
FAHRRADABSTELLANLAGEOGD.6554273,POINT (16.351590448149754 48.211498489653934),6554273,,8,Lange Gasse 52,6,0
FAHRRADABSTELLANLAGEOGD.6554274,POINT (16.36508251520615 48.21374225535326),6554274,,1,Helferstorferstraße 9-15,12,0
FAHRRADABSTELLANLAGEOGD.6554275,POINT (16.355227027089548 48.21031267150338),6554275,,8,Friedrich-Schmidt-Platz 3,8,0
FAHRRADABSTELLANLAGEOGD.6554276,POINT (16.344842840686386 48.21316625832871),6554276,,8,Laudongasse 42,6,0
FAHRRADABSTELLANLAGEOGD.6554277,POINT (16.36441059812648 48.21745882278249),6554277,,9,Schlickplatz 4,6,0
FAHRRADABSTELLANLAGEOGD.6554278,POINT (16.351989505012135 48.21014625493908),6554278,,8,Lange Gasse 36,12,0
FAHRRADABSTELLANLAGEOGD.6554279,POINT (16.342686562341893 48.2150900366617),6554279,,8,Bennogasse 33,8,0
FAHRRADABSTELLANLAGEOGD.6554280,POINT (16.34262076658484 48.21319358900765),6554280,,8,Laudongasse 54,6,0
FAHRRADABSTELLANLAGEOGD.6554281,POINT (16.341838922717454 48.21506481184837),6554281,,8,Blindengasse 59,6,0
FAHRRADABSTELLANLAGEOGD.6554282,POINT (16.351997934390855 48.21196641134136),6554282,,8,Florianigasse 18,18,0
FAHRRADABSTELLANLAGEOGD.6554283,POINT (16.329403614952145 48.20132093563361),6554283,,15,Tellgasse 1,6,0
FAHRRADABSTELLANLAGEOGD.6554284,POINT (16.34065009836254 48.212008901275205),6554284,,8,Uhlplatz Süd,8,0
FAHRRADABSTELLANLAGEOGD.6554285,POINT (16.34445495909231 48.21422174833365),6554285,,8,Breitenfelder Gasse 10,4,0
FAHRRADABSTELLANLAGEOGD.6554286,POINT (16.35155867271446 48.21156767692439),6554286,,8,Lange Gasse 52,4,0
FAHRRADABSTELLANLAGEOGD.6554287,POINT (16.354180480341572 48.210300456904015),6554287,,8,Lenaugasse 9,4,0
FAHRRADABSTELLANLAGEOGD.6554288,POINT (16.354256311673126 48.21033966349273),6554288,,8,Lenaugasse 10,8,0
FAHRRADABSTELLANLAGEOGD.6554289,POINT (16.352039648490052 48.212599352443505),6554289,,8,Lammgasse 6,8,0
FAHRRADABSTELLANLAGEOGD.6554290,POINT (16.340406683673752 48.21311787358684),6554290,,8,Laudongasse 73,6,0
FAHRRADABSTELLANLAGEOGD.6554291,POINT (16.3461492752662 48.2132887716642),6554291,,8,"Skodagasse, Laudongasse",8,0
FAHRRADABSTELLANLAGEOGD.6554292,POINT (16.342598010021447 48.21363005424003),6554292,,8,Bennogasse 16,4,0
FAHRRADABSTELLANLAGEOGD.6554293,POINT (16.29971734390832 48.208362011017286),6554293,,16,"Flötzersteig 4, Wilhelminenspital",6,0
FAHRRADABSTELLANLAGEOGD.6554294,POINT (16.313763820746022 48.21844791521044),6554294,,16,Seeböckgasse 30A,8,0
FAHRRADABSTELLANLAGEOGD.6554295,POINT (16.351653941402557 48.21061380770046),6554295,,8,"Maria-Treu-Gasse 2, Lange Gasse (Ecke)",8,0
FAHRRADABSTELLANLAGEOGD.6554296,POINT (16.35696540031505 48.17143460159366),6554296,,10,"Troststraße 96, Gußriegelstraße",8,0
FAHRRADABSTELLANLAGEOGD.6554297,POINT (16.37923474733469 48.1712161098192),6554297,,10,"Gellertgasse 63, Favoritenstraße",6,0
FAHRRADABSTELLANLAGEOGD.6554298,POINT (16.39790191732139 48.13655163785009),6554298,,10,Liesingbachstraße 83,6,0
FAHRRADABSTELLANLAGEOGD.6554299,POINT (16.278998773570933 48.19598899216605),6554299,,14,Kefergasse 20,8,0
FAHRRADABSTELLANLAGEOGD.6554300,POINT (16.3501573623304 48.15544415711645),6554300,,10,"Tesarekplatz, Otto-Probst-Straße ONr.14",8,0
FAHRRADABSTELLANLAGEOGD.6554301,POINT (16.36360885524819 48.1789081686306),6554301,,10,Gudrunstraße 187,6,0
FAHRRADABSTELLANLAGEOGD.6554302,POINT (16.353434243660704 48.227375391096885),6554302,,9,Schubertgasse 11,8,0
FAHRRADABSTELLANLAGEOGD.6554303,POINT (16.29909918015644 48.18730846590045),6554303,,13,Dommayergasse 1,5,0
FAHRRADABSTELLANLAGEOGD.6554304,POINT (16.380583242633342 48.17040659689518),6554304,,10,Friedrich-Knauer-Gasse 2-4/3,8,0
FAHRRADABSTELLANLAGEOGD.6554305,POINT (16.28249236665534 48.135438199770604),6554305,,23,Breitenfurter Straße ggü. 358,12,0
FAHRRADABSTELLANLAGEOGD.6554306,POINT (16.28776456448389 48.137788549434205),6554306,,23,Breitenfurter Straße 381A,8,0
FAHRRADABSTELLANLAGEOGD.6554307,POINT (16.350438907163483 48.21509139812519),6554307,,9,Alser Straße 8,10,0
FAHRRADABSTELLANLAGEOGD.6554308,POINT (16.403201084681687 48.18825153463393),6554308,,3,Helmut-Qualtinger-Gasse,12,0
FAHRRADABSTELLANLAGEOGD.6554309,POINT (16.30708036273459 48.228058018291634),6554309,,17,Alszeile 73,6,0
FAHRRADABSTELLANLAGEOGD.6554310,POINT (16.337833092492193 48.21897230373276),6554310,,17,Syringgasse 11,6,0
FAHRRADABSTELLANLAGEOGD.6554311,POINT (16.356293340877393 48.22187788569181),6554311,,9,Boltzmanngasse ggü. 10,8,0
FAHRRADABSTELLANLAGEOGD.6554312,POINT (16.319048201731174 48.221728363575174),6554312,,17,Redtenbachergasse 79,12,0
FAHRRADABSTELLANLAGEOGD.6554313,POINT (16.32258423830553 48.220945016091136),6554313,,17,"Hernalser Hauptstraße 123, Wichtelgasse",4,0
FAHRRADABSTELLANLAGEOGD.6554314,POINT (16.328702307417622 48.184975579461906),6554314,,15,Pillergasse  10,6,0
FAHRRADABSTELLANLAGEOGD.6554315,POINT (16.28176987284956 48.187336678808805),6554315,,13,"Hietzinger Hauptstraße, Hummelgasse",8,0
FAHRRADABSTELLANLAGEOGD.6554316,POINT (16.283465891700878 48.17692158341786),6554316,,13,Lainzer Straße 144,8,0
FAHRRADABSTELLANLAGEOGD.6554317,POINT (16.329704950534822 48.19758406639756),6554317,,15,"Benedikt-Schellinger-Gasse 13, U/3",6,0
FAHRRADABSTELLANLAGEOGD.6554318,POINT (16.369546820665093 48.22419536974524),6554318,,2,"Obere Donaustraße, ggü. Scholzgasse 2",14,0
FAHRRADABSTELLANLAGEOGD.6554319,POINT (16.332903170616305 48.18955200804708),6554319,,15,Herklotzgasse 31,4,0
FAHRRADABSTELLANLAGEOGD.6554320,POINT (16.357317468705215 48.22714341558263),6554320,,9,Lichtentaler Gasse ggü. 4,8,0
FAHRRADABSTELLANLAGEOGD.6554321,POINT (16.28448045392179 48.18960717423307),6554321,,13,Feldmühlgasse  26,10,0
FAHRRADABSTELLANLAGEOGD.6554322,POINT (16.36298684653254 48.21851458327414),6554322,,9,"Berggasse 19, links von Einfahrt",6,0
FAHRRADABSTELLANLAGEOGD.6554323,POINT (16.337518674071752 48.18930826682886),6554323,,15,Ullmannstraße 2,8,0
FAHRRADABSTELLANLAGEOGD.6554324,POINT (16.349369972118186 48.20625527499612),6554324,,7,Neubaugasse 88,6,0
FAHRRADABSTELLANLAGEOGD.6554325,POINT (16.37397780388761 48.203708059887546),6554325,,1,Fichtegasse 2A,8,0
FAHRRADABSTELLANLAGEOGD.6554326,POINT (16.329631949767215 48.22134856988293),6554326,,17,Lacknergasse 27,8,0
FAHRRADABSTELLANLAGEOGD.6554327,POINT (16.331065666452115 48.218795174443436),6554327,,17,Hormayrgasse 2-4,14,0
FAHRRADABSTELLANLAGEOGD.6554328,POINT (16.32718668646916 48.22077736714998),6554328,,17,"Rötzergasse 48, Rosensteingasse",8,0
FAHRRADABSTELLANLAGEOGD.6554329,POINT (16.2985694927723 48.187032170589426),6554329,,13,Auhofstraße 4,8,0
FAHRRADABSTELLANLAGEOGD.6554330,POINT (16.331601605216665 48.20109845719316),6554330,,15,Vogelweidplatz 15,8,0
FAHRRADABSTELLANLAGEOGD.6554331,POINT (16.356930337271685 48.20549489844552),6554331,,7,Neustiftgasse 1,6,0
FAHRRADABSTELLANLAGEOGD.6554332,POINT (16.365263417341012 48.22076062796602),6554332,,9,Hahngasse 17,6,0
FAHRRADABSTELLANLAGEOGD.6554333,POINT (16.337038491337903 48.192379588757916),6554333,,15,"Gebrüder-Lang-Gasse 4, Schule",6,0
FAHRRADABSTELLANLAGEOGD.6554334,POINT (16.36221038662594 48.215490211887115),6554334,,9,Kolingasse 6,6,0
FAHRRADABSTELLANLAGEOGD.6554335,POINT (16.36255305773812 48.222352325370636),6554335,,9,Pramergasse 7,6,0
FAHRRADABSTELLANLAGEOGD.6554336,POINT (16.380725009132387 48.149906955124976),6554336,,10,Stockholmer Platz 18,6,0
FAHRRADABSTELLANLAGEOGD.6554337,POINT (16.34661603252942 48.213194254554836),6554337,,8,Laudongasse 36,8,0
FAHRRADABSTELLANLAGEOGD.6554338,POINT (16.34990823362223 48.21177662084952),6554338,,8,Florianigasse 27,6,0
FAHRRADABSTELLANLAGEOGD.6554339,POINT (16.406868596297542 48.25286542236902),6554339,,21,Scheffelstraße 13,6,0
FAHRRADABSTELLANLAGEOGD.6554340,POINT (16.363337712437154 48.22796562082592),6554340,,9,Spittelauer Lände 11,12,0
FAHRRADABSTELLANLAGEOGD.6554341,POINT (16.350022785485326 48.21170532504976),6554341,,8,Piaristengasse 49,8,0
FAHRRADABSTELLANLAGEOGD.6554342,POINT (16.347913717047703 48.20794696402928),6554342,,8,Pfeilgasse 3,28,0
FAHRRADABSTELLANLAGEOGD.6554343,POINT (16.348889911833005 48.20795621369142),6554343,,8,Pfeilgasse 1A,28,0
FAHRRADABSTELLANLAGEOGD.6554344,POINT (16.35913763015152 48.19683436337652),6554344,,5,Kettenbrücke,18,0
FAHRRADABSTELLANLAGEOGD.6554345,POINT (16.3486293324415 48.208092353802265),6554345,,8,Pfeilgasse 2,8,0
FAHRRADABSTELLANLAGEOGD.6554346,POINT (16.349181672695664 48.20789848313972),6554346,,8,Zeltgasse 13,4,0
FAHRRADABSTELLANLAGEOGD.6554347,POINT (16.349179159479018 48.20796756664599),6554347,,8,"Zeltgasse 14, Strozzigasse",8,0
FAHRRADABSTELLANLAGEOGD.6554348,POINT (16.37589410875238 48.21405104127522),6554348,,2,Obere Donaustraße 85-89,8,0
FAHRRADABSTELLANLAGEOGD.6554349,POINT (16.351023186836564 48.185929375078175),6554349,,5,"Einsiedlerplatz 7, Arbeitergasse",8,0
FAHRRADABSTELLANLAGEOGD.6554350,POINT (16.35527396535516 48.18604458170452),6554350,,5,Siebenbrunnengasse 44,10,0
FAHRRADABSTELLANLAGEOGD.6554351,POINT (16.369918031654922 48.23360628576441),6554351,,20,Jägerstraße ggü. 52-54,8,0
FAHRRADABSTELLANLAGEOGD.6554352,POINT (16.3689984979572 48.19917937537471),6554352,,4,Resselgasse 1,16,0
FAHRRADABSTELLANLAGEOGD.6554353,POINT (16.40334516966043 48.188364309496066),6554353,,3,Helmut-Qualtinger-Gasse 3,18,0
FAHRRADABSTELLANLAGEOGD.6554354,POINT (16.493244977944435 48.25125888654842),6554354,,22,"Breitenleer Straße 231, Breitenleer Friedhof",6,0
FAHRRADABSTELLANLAGEOGD.6554355,POINT (16.424267341797222 48.22357384777624),6554355,,22,Berchtoldgasse 1,12,0
FAHRRADABSTELLANLAGEOGD.6554356,POINT (16.374513608419978 48.18182899340072),6554356,,10,Columbusplatz 1-2,8,0
FAHRRADABSTELLANLAGEOGD.6554357,POINT (16.37865998213043 48.23821526359025),6554357,,20,Winarskystraße ggü. 10,8,0
FAHRRADABSTELLANLAGEOGD.6554358,POINT (16.372596387175328 48.2288797454517),6554358,,20,"Karl-Meißl-Straße 8, Petraschgasse",4,0
FAHRRADABSTELLANLAGEOGD.6554359,POINT (16.313291522803084 48.136670177678134),6554359,,23,"Perfektastraße ggü. 76, U6-Station",22,1
FAHRRADABSTELLANLAGEOGD.6554360,POINT (16.36965680126985 48.243897303867044),6554360,,20,Lorenz-Müller-Gasse 1A,22,0
FAHRRADABSTELLANLAGEOGD.6554361,POINT (16.352369033758464 48.20816204436057),6554361,,8,Lange Gasse 21-23,8,0
FAHRRADABSTELLANLAGEOGD.6554362,POINT (16.320664125909712 48.21284127340506),6554362,,16,Wichtelgasse ggü. 17,6,0
FAHRRADABSTELLANLAGEOGD.6554363,POINT (16.387628341607094 48.24643621710233),6554363,,21,"Donauinselplatz, Schulschiff",32,0
FAHRRADABSTELLANLAGEOGD.6554364,POINT (16.352176537048948 48.18445730266543),6554364,,5,"Obere Amtshausgasse 30, Siebenbrunnengasse",5,0
FAHRRADABSTELLANLAGEOGD.6554365,POINT (16.378839548020235 48.23772069840214),6554365,,20,Dresdner Straße 45,8,0
FAHRRADABSTELLANLAGEOGD.6554366,POINT (16.280185841446997 48.19004074078324),6554366,,13,Auhofstraße 90,4,0
FAHRRADABSTELLANLAGEOGD.6554367,POINT (16.359802854903318 48.190249687867784),6554367,,5,Schloßgasse 11,10,0
FAHRRADABSTELLANLAGEOGD.6554368,POINT (16.31107360079614 48.21148239207539),6554368,,16,"Hasnerstraße 124-126, Station U3",20,1
FAHRRADABSTELLANLAGEOGD.6554369,POINT (16.359228779433852 48.18756689144736),6554369,,5,Siebenbrunnengasse 17,8,0
FAHRRADABSTELLANLAGEOGD.6554370,POINT (16.322550805115394 48.18717367112445),6554370,,15,Weiglgasse 10,6,0
FAHRRADABSTELLANLAGEOGD.6554371,POINT (16.34955984625057 48.18232813149099),6554371,,5,Siebenbrunnengasse 86,16,0
FAHRRADABSTELLANLAGEOGD.6554372,POINT (16.30600847016798 48.21240313211335),6554372,,16,"Maroltingergasse 69-71, Schule",8,0
FAHRRADABSTELLANLAGEOGD.6554373,POINT (16.367160913748965 48.22224154074055),6554373,,9,Roßauer Lände 23,8,0
FAHRRADABSTELLANLAGEOGD.6554374,POINT (16.401060572219304 48.22164241721658),6554374,,2,Ennsgasse 5,6,0
FAHRRADABSTELLANLAGEOGD.6554375,POINT (16.47286481858974 48.24627327625525),6554375,,22,"Jakob-Bindel-Platz, Pastinakweg",8,0
FAHRRADABSTELLANLAGEOGD.6554376,POINT (16.359821318704434 48.19521050420105),6554376,,5,Grüngasse 3,6,0
FAHRRADABSTELLANLAGEOGD.6554377,POINT (16.350321032968008 48.18291007306812),6554377,,5,Siebenbrunnengasse 80,6,0
FAHRRADABSTELLANLAGEOGD.6554378,POINT (16.386097156439817 48.19261648389927),6554378,,3,Fasangasse 19,4,0
FAHRRADABSTELLANLAGEOGD.6554379,POINT (16.355715153723548 48.18994689155395),6554379,,5,Bräuhausgasse 11,16,0
FAHRRADABSTELLANLAGEOGD.6554380,POINT (16.40061151248314 48.262366950093316),6554380,,21,Brünner Straße 34-38,8,0
FAHRRADABSTELLANLAGEOGD.6554381,POINT (16.309436019709818 48.20511968275614),6554381,,16,"Opfermanngasse ggü. 1, U3 Kendlerstraße",8,0
FAHRRADABSTELLANLAGEOGD.6554382,POINT (16.353316418465734 48.18521627671019),6554382,,5,Siebenbrunnenplatz 4,8,0
FAHRRADABSTELLANLAGEOGD.6554383,POINT (16.352291261515987 48.187787210001076),6554383,,5,Margaretenstraße 125,5,0
FAHRRADABSTELLANLAGEOGD.6554384,POINT (16.387223212544903 48.293972038719545),6554384,,21,Dr.-Albert-Geßmann-Gasse 32,6,0
FAHRRADABSTELLANLAGEOGD.6554385,POINT (16.35390742158865 48.19360222291967),6554385,,6,"Spörlingasse 1, Linke Wienzeile",8,0
FAHRRADABSTELLANLAGEOGD.6554386,POINT (16.386174493285225 48.192994975016774),6554386,,3,Fasangasse 15,10,0
FAHRRADABSTELLANLAGEOGD.6554387,POINT (16.3484616325166 48.20649981899244),6554387,,7,Lerchenfelder Straße 53,6,0
FAHRRADABSTELLANLAGEOGD.6554388,POINT (16.35907568414484 48.196667110523016),6554388,,5,Rechte Wienzeile ggü. 41,8,0
FAHRRADABSTELLANLAGEOGD.6554389,POINT (16.38983748998441 48.20642192590477),6554389,,3,Geusaugasse 9,6,0
FAHRRADABSTELLANLAGEOGD.6554390,POINT (16.340373123800948 48.19269964393774),6554390,,6,Mittelgasse 24,6,0
FAHRRADABSTELLANLAGEOGD.6554391,POINT (16.373863873176656 48.21693115664953),6554391,,2,Obere Donaustraße 65,12,0
FAHRRADABSTELLANLAGEOGD.6554392,POINT (16.354609722126636 48.20227248120783),6554392,,7,Stiftgasse 21,8,0
FAHRRADABSTELLANLAGEOGD.6554393,POINT (16.420028507760684 48.132285128664755),6554393,,10,Klederinger Straße - Johanneskirche,8,0
FAHRRADABSTELLANLAGEOGD.6554394,POINT (16.370447291350736 48.19233813285623),6554394,,4,Möllwaldplatz 1,6,0
FAHRRADABSTELLANLAGEOGD.6554395,POINT (16.363621468193653 48.19154604484805),6554395,,4,Mittersteig 11,8,0
FAHRRADABSTELLANLAGEOGD.6554396,POINT (16.37059465281795 48.1895100102156),6554396,,4,Graf-Starhemberg-Gasse 19,6,0
FAHRRADABSTELLANLAGEOGD.6554397,POINT (16.35026572261801 48.210583427799236),6554397,,8,"Jodok-Fink-Platz, ggü. Maria-Treu-Gasse",8,0
FAHRRADABSTELLANLAGEOGD.6554398,POINT (16.370161839113035 48.2033398325435),6554398,,1,Kärntner Straße ggü. 51,12,0
FAHRRADABSTELLANLAGEOGD.6554399,POINT (16.373758713820454 48.19958455042252),6554399,,4,Lothringerstraße 2,8,0
FAHRRADABSTELLANLAGEOGD.6554400,POINT (16.366036782200464 48.211812233100055),6554400,,1,Freyung 7,16,0
FAHRRADABSTELLANLAGEOGD.6554401,POINT (16.388865546469923 48.22487697479416),6554401,,2,Nordbahnstraße 26,6,0
FAHRRADABSTELLANLAGEOGD.6554402,POINT (16.366547513262333 48.22882238984088),6554402,,20,Treustraße 26,6,0
FAHRRADABSTELLANLAGEOGD.6554403,POINT (16.377323792587763 48.208106212195),6554403,,1,Wollzeile 27,6,0
FAHRRADABSTELLANLAGEOGD.6554404,POINT (16.283784808779924 48.134546543505294),6554404,,23,Liesinger Platz 2A,5,0
FAHRRADABSTELLANLAGEOGD.6554405,POINT (16.343969837839246 48.209744980275914),6554405,,8,Albertgasse 20,8,0
FAHRRADABSTELLANLAGEOGD.6554406,POINT (16.33349551204393 48.18786935719246),6554406,,15,Stiegergasse 20,8,0
FAHRRADABSTELLANLAGEOGD.6554407,POINT (16.360573305700246 48.22598770654767),6554407,,9,"Althanstraße 6, Julius-Tandler-Platz",16,0
FAHRRADABSTELLANLAGEOGD.6554408,POINT (16.40695922138227 48.25514253252132),6554408,,21,Hoßplatz ggü. 16,8,0
FAHRRADABSTELLANLAGEOGD.6554409,POINT (16.385838751718506 48.19776832073956),6554409,,3,Streichergasse 7,6,0
FAHRRADABSTELLANLAGEOGD.6554410,POINT (16.3830583978212 48.21717356478635),6554410,,2,Große Mohrengasse 29,6,0
FAHRRADABSTELLANLAGEOGD.6554411,POINT (16.400167476643308 48.2574506796186),6554411,,21,"Schloßhofer Straße ggü. 11, Franz -Jonas-Platz",36,0
FAHRRADABSTELLANLAGEOGD.6554412,POINT (16.404165148705655 48.257088320872874),6554412,,21,Freytaggasse 32,6,0
FAHRRADABSTELLANLAGEOGD.6554413,POINT (16.35132240791914 48.19532390267532),6554413,,6,Esterhazygasse 13,6,0
FAHRRADABSTELLANLAGEOGD.6554414,POINT (16.400038574460925 48.25563040399552),6554414,,21,"Franklinstraße, ggü.  Rechte Nordbahngasse",24,0
FAHRRADABSTELLANLAGEOGD.6554415,POINT (16.38380575609293 48.276689964177095),6554415,,21,"Tomaschekstraße 44, In der Schwarzlackenau",8,0
FAHRRADABSTELLANLAGEOGD.6554416,POINT (16.46807355170026 48.219160448444626),6554416,,22,"Buchsgasse-U2-ggü. Donauspital, ggü. Langobardenstraße 122A",64,1
FAHRRADABSTELLANLAGEOGD.6554417,POINT (16.366386430689605 48.26031549865305),6554417,,19,Nußdorfer Platz 6,8,0
FAHRRADABSTELLANLAGEOGD.6554418,POINT (16.37917080529792 48.23035703862428),6554418,,20,Nordwestbahnstraße 53,10,0
FAHRRADABSTELLANLAGEOGD.6554419,POINT (16.362292789626128 48.226868893828325),6554419,,9,Spittelauer Platz ggü. 8,12,0
FAHRRADABSTELLANLAGEOGD.6554420,POINT (16.34073008627989 48.209432505392414),6554420,,8,Pfeilgasse 42,2,0
FAHRRADABSTELLANLAGEOGD.6554421,POINT (16.383317185178726 48.19910106386972),6554421,,3,Neulinggasse 37,6,0
FAHRRADABSTELLANLAGEOGD.6554422,POINT (16.403822962444618 48.19781597553463),6554422,,3,Hagenmüllergasse 30,12,0
FAHRRADABSTELLANLAGEOGD.6554423,POINT (16.344025685527892 48.19430411732909),6554423,,6,Stumpergasse 43,6,0
FAHRRADABSTELLANLAGEOGD.6554424,POINT (16.39708836147359 48.25755366448586),6554424,,21,Am Spitz ggü. 10,6,0
FAHRRADABSTELLANLAGEOGD.6554425,POINT (16.369856162980952 48.22841117343313),6554425,,20,Staudingergasse 9,4,0
FAHRRADABSTELLANLAGEOGD.6554426,POINT (16.42049575793195 48.17969978822593),6554426,,11,Simoningplatz 2,6,0
FAHRRADABSTELLANLAGEOGD.6554427,POINT (16.364431698296034 48.22231230822714),6554427,,9,D'Orsaygasse 2,10,0
FAHRRADABSTELLANLAGEOGD.6554428,POINT (16.46136729892009 48.23514347878214),6554428,,22,Stadlauer Straße 53,10,0
FAHRRADABSTELLANLAGEOGD.6554429,POINT (16.34038773493466 48.209476233709644),6554429,,8,Pfeilgasse 46,2,0
FAHRRADABSTELLANLAGEOGD.6554430,POINT (16.341798541158877 48.19621515305785),6554430,,6,"Mariahilfer Straße ggü. 121, Stumpergasse",6,0
FAHRRADABSTELLANLAGEOGD.6554431,POINT (16.35503696467079 48.1967347651849),6554431,,6,Eggerthgasse 3,4,0
FAHRRADABSTELLANLAGEOGD.6554432,POINT (16.345540477019807 48.208844678190495),6554432,,8,"Lerchengasse 19, Tigerpark",8,0
FAHRRADABSTELLANLAGEOGD.6554433,POINT (16.293263165443992 48.14438990944994),6554433,,23,Breitenfurter Straße 270,6,0
FAHRRADABSTELLANLAGEOGD.6554434,POINT (16.35307863779212 48.2113514647858),6554434,,8,Buchfeldgasse 16,6,0
FAHRRADABSTELLANLAGEOGD.6554435,POINT (16.35448623411846 48.21162577465757),6554435,,8,Wickenburggasse 2,8,0
FAHRRADABSTELLANLAGEOGD.6554436,POINT (16.348366227637783 48.2131653546077),6554436,,8,Laudongasse 29-31,6,0
FAHRRADABSTELLANLAGEOGD.6554437,POINT (16.3487806176845 48.21093828242969),6554437,,8,Lederergasse ggü. 11,6,0
FAHRRADABSTELLANLAGEOGD.6554438,POINT (16.329991608828855 48.182311800211615),6554438,,12,Meidlinger Hauptstraße 7-9,6,0
FAHRRADABSTELLANLAGEOGD.6554439,POINT (16.34500095477276 48.20858346806206),6554439,,8,"Tigergasse 18, Tigerpark",8,0
FAHRRADABSTELLANLAGEOGD.6554440,POINT (16.30678543104134 48.2103769934949),6554440,,16,Lorenz-Mandl-Gasse 36-38,8,0
FAHRRADABSTELLANLAGEOGD.6554441,POINT (16.353993136664453 48.21327426605099),6554441,,8,Wickenburggasse 15,3,0
FAHRRADABSTELLANLAGEOGD.6554442,POINT (16.374950817117593 48.19977254793083),6554442,,4,Schwarzenbergplatz 14,6,0
FAHRRADABSTELLANLAGEOGD.6554443,POINT (16.354038302971848 48.21315274993786),6554443,,8,Wickenburggasse 13,8,0
FAHRRADABSTELLANLAGEOGD.6554444,POINT (16.354268021976015 48.21248608933875),6554444,,8,Wickenburggasse 8,8,0
FAHRRADABSTELLANLAGEOGD.6554445,POINT (16.354159323483508 48.212243283376814),6554445,,8,Florianigasse 6,4,0
FAHRRADABSTELLANLAGEOGD.6554446,POINT (16.38967804845198 48.19126725729851),6554446,,3,Kleistgasse 11,6,0
FAHRRADABSTELLANLAGEOGD.6554447,POINT (16.367687132261164 48.20123215764819),6554447,,1,"Friedrichstraße 6, U/1-Station Karlsplatz",6,0
FAHRRADABSTELLANLAGEOGD.6554448,POINT (16.387873627803327 48.21866817022043),6554448,,2,Aloisgasse 5,6,0
FAHRRADABSTELLANLAGEOGD.6554449,POINT (16.323248922397195 48.20960288254232),6554449,,16,Hasnerstraße 78,10,0
FAHRRADABSTELLANLAGEOGD.6554450,POINT (16.36301668758948 48.16806358779083),6554450,,10,Zohmanngasse 28,6,0
FAHRRADABSTELLANLAGEOGD.6554451,POINT (16.391643975266764 48.217149634729736),6554451,,2,"Praterstern, ggü. Franzensbrückenstraße",14,0
FAHRRADABSTELLANLAGEOGD.6554452,POINT (16.27255872161043 48.166656398711126),6554452,,13,"Hermesstraße, Dr.-Schober-Straße 1",6,0
FAHRRADABSTELLANLAGEOGD.6554453,POINT (16.344517490044446 48.20894476555075),6554453,,8,Pfeilgasse 20,8,0
FAHRRADABSTELLANLAGEOGD.6554454,POINT (16.387670470752848 48.26213481153819),6554454,,21,Karl-Seitz-Platz,8,0
FAHRRADABSTELLANLAGEOGD.6554455,POINT (16.35488373518392 48.2089970337514),6554455,,8,Auerspergstraße ggü. 19,6,0
FAHRRADABSTELLANLAGEOGD.6554456,POINT (16.363502334271278 48.21918100466174),6554456,,9,Porzellangasse 4,8,0
FAHRRADABSTELLANLAGEOGD.6554457,POINT (16.341881008315614 48.209234431925196),6554457,,8,Stolzenthalergasse 9-11,12,0
FAHRRADABSTELLANLAGEOGD.6554458,POINT (16.3295841626223 48.231244578973296),6554458,,18,Gentzgasse ggü. 158,8,0
FAHRRADABSTELLANLAGEOGD.6554459,POINT (16.369870764484798 48.2156902614028),6554459,,1,Eßlinggasse 12,6,0
FAHRRADABSTELLANLAGEOGD.6554460,POINT (16.36260794788749 48.21577784253319),6554460,,9,Kolingasse ggü. 8,12,0
FAHRRADABSTELLANLAGEOGD.6554461,POINT (16.306566009128947 48.217845457222836),6554461,,16,Wilhelminenstraße 91,12,0
