FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.6557272,POINT (16.399563059167956 48.2583727838332),6557272,,21,Pius-Parsch-Platz 3,8,0
FAHRRADABSTELLANLAGEOGD.6557273,POINT (16.340401944445333 48.18948391050912),6557273,,6,Mollardgasse 89,8,0
FAHRRADABSTELLANLAGEOGD.6557274,POINT (16.33659228053067 48.19192572390837),6557274,,15,Pater-Schwartz-Gasse 5,6,0
FAHRRADABSTELLANLAGEOGD.6557275,POINT (16.338654832817642 48.20165981147621),6557275,,7,Urban-Loritz-Platz,8,0
FAHRRADABSTELLANLAGEOGD.6557276,POINT (16.343969051126727 48.2043508575995),6557276,,7,Burggasse 98,8,0
FAHRRADABSTELLANLAGEOGD.6557277,POINT (16.30918312367184 48.21391871157246),6557277,,16,Ottakringer Straße 200,6,0
FAHRRADABSTELLANLAGEOGD.6557278,POINT (16.307216666081185 48.21158261276661),6557278,,16,Lorenz-Mandl-Gasse 50,10,0
FAHRRADABSTELLANLAGEOGD.6557279,POINT (16.41554918427412 48.29201258312598),6557279,,21,Theumermarkt 2,16,0
FAHRRADABSTELLANLAGEOGD.6557280,POINT (16.30214034408866 48.19477584023766),6557280,,14,Goldschlagstraße ggü. 189,8,0
FAHRRADABSTELLANLAGEOGD.6557281,POINT (16.321015799705254 48.21726806918011),6557281,,16,Geblergasse 121,8,0
